IDENTMENECOPA;ident_men;vag;nbvehic;marque;carbu;anvoi;expvoi1;expvoi2;expvoi3;expvoi4;provoi;protrav;km_auto;repar_auto;fraisvoi;persvoi;quivoi;apvoi;gravoi;recvoi;moisvoi;lieuvoi;acqvoi;crevoi;empvoi;apervoi;mcrevoi;ancvoi;repvoi;privoi;marque_d;numvehic;fraisvoi_d;repar_auto_d;mcrevoi_d;privoi_d;repvoi_d;dom;achat_auto;credit_achat;prix_auto;remb_cred_12;acq_neuf;acq_occaz;prix_neuf;prix_occaz;rep_neuf;rep_occaz;remb_neuf;remb_occaz
201102907;2907;1;1;VOLSWAGEN GOLF;2;1998;1;0;1;0;;20;500;1250;650;1;1;3;;1998;;;;;;;;;;;VOLKSWAGEN GOLF;1;650;1250;;;;0;;;;;;;;;;;;
201102908;2908;5;1;REN AULT MEGANE;2;2004;1;0;1;0;;50;40;0;61;1;1;3;;2005;;;;;;;;;;;RENAULT MEGANE;1;61;;;;;0;;;;;;;;;;;;
201102909;2909;3;1;C1;1;2010;1;0;1;0;;0;0;0;0;1;1;3;;2010;3;2;1;1;6000;2400;1750;1;1750;9990;CITROEN C1;1;;;1750;9990;1750;0;1;1;9990;1750;1;;9990;;;1750;1750;
201102911;2911;1;1;FORD FOCUS;1;2002;1;0;1;0;;0;100;0;0;1;1;3;;2004;;;;;;;;;;;FORD FOCUS;1;;;;;;0;;;;;;;;;;;;
201102913;2913;6;1;CITROEN BERLINGO;1;1999;1;0;1;0;;20;100;0;0;1;1;3;;2001;;;;;;;;;;;CITROEN BERLINGO;1;;;;;;0;;;;;;;;;;;;
201102915;2915;4;1;RENAULT MEGANE;1;2001;0;0;1;0;;;;0;0;1;2;3;;2001;;;;;;;;;;;RENAULT MEGANE;1;;;;;;0;;;;;;;;;;;;
201102916;2916;4;1;SEAT TOLEDO;2;2001;1;0;1;0;;80;75;0;0;1;3;3;;2007;;;;;;;;;;;SEAT TOLEDO;1;;;;;;0;;;;;;;;;;;;
201102917;2917;6;1;RENAULT TWINGO;1;1994;0;0;1;0;;;;265;0;1;1;4;;;;;;;;;;;;;RENAULT TWINGO;1;;265;;;;0;;;;;;;;;;;;
201102920;2920;3;3;RENAULT ESPACE;2;2000;0;0;1;0;;;;600;0;1;1;3;;2011;1;3;2;3;0;0;;2;3500;3000;RENAULT ESPACE;1;;600;;3000;3500;0;1;;3000;;;1;;3000;3500;;;0
201102920;2920;3;3;RENAULT MEGANE;2;2006;1;0;1;0;;95;200;0;0;1;2;3;;2009;;;;;;;;;;;RENAULT MEGANE;2;;;;;;0;;;;;;;;;;;;
201102920;2920;3;3;RENAULT SUPER 5;1;1989;1;0;1;0;;90;70;0;0;1;1;3;;2004;;;;;;;;;;;RENAULT SUPER 5;3;;;;;;0;;;;;;;;;;;;
201102921;2921;1;2;RENAULT CLIO;2;2006;1;0;1;0;;50;99999;0;999999;1;2;3;;2006;;;;;;;;;;;RENAULT CLIO;1;200;;;;;0;;;;;;;;;;;;
201102921;2921;1;2;RENAULT CLIO;2;2009;1;0;1;0;;50;99999;0;999999;1;1;3;;2009;4;;;;;;;;;;RENAULT CLIO;2;150;;;;;0;;;;;;;;;;;;
201102922;2922;5;1;206 +;2;2010;1;0;1;0;;5;195;0;0;1;1;3;;2010;7;2;1;1;13000;999999;4742;1;0;14104;PEUGEOT 206;1;;;4742;14104;0;0;1;1;14104;4742;1;;14104;;;0;4742;
201102923;2923;2;2;OPEL CORSA;2;1990;0;0;1;0;;;;0;0;1;2;3;;1995;;;;;;;;;;;OPEL CORSA;1;;;;;;0;;;;;;;;;;;;
201102923;2923;2;2;RENAULT MEGANE;1;2002;0;0;1;0;;;;0;150;1;2;3;;2004;;;;;;;;;;;RENAULT MEGANE;2;150;;;;;0;;;;;;;;;;;;
201102924;2924;1;1;AX CITROEN;1;1994;0;0;1;0;;;;0;201;1;1;3;;1994;;;;;;;;;;;CITROEN AX;1;201;;;;;0;;;;;;;;;;;;
201102925;2925;4;1;PEUGEOT;2;2005;1;0;1;0;;0;60;0;150;1;2;3;;2008;;;;;;;;;;;PEUGEOT - NON SPECIFIE;1;150;;;;;0;;;;;;;;;;;;
201102926;2926;1;1;MONDEO;2;1998;1;0;1;0;;75;200;1250;0;1;1;3;;2006;;;;;;;;;;;FORD MONDEO;1;;1250;;;;0;;;;;;;;;;;;
201102928;2928;4;2;107 PEUGOT;1;2009;1;0;1;0;;50;99999;0;0;1;2;3;;2009;;;;;;;;;;;PEUGEOT 107;1;;;;;;0;;;;;;;;;;;;
201102928;2928;4;2;207SW;1;2010;1;0;1;0;;50;30;0;0;1;1;3;;2010;2;;;;;;;;;;PEUGEOT 207;2;;;;;;0;1;;0;;;;;;;;;
201102929;2929;6;1;PEUGEOT 307;1;2005;1;0;1;0;;80;99999;0;70;1;1;3;;2005;;;;;;;;;;;PEUGEOT 307;1;70;;;;;0;;;;;;;;;;;;
201102938;2938;4;1;KOLEOS;2;2009;0;0;1;0;;;;0;0;1;2;3;;2009;;;;;;;;;;;RENAULT KOLEOS;1;;;;;;0;;;;;;;;;;;;
201102940;2940;3;1;CITROEN C3 PICASSO;2;2009;0;0;1;0;;;;0;100;1;1;3;;2010;7;2;2;3;0;10500;;1;5000;15500;CITROEN C3;1;100;;;15500;5000;0;1;;15500;;;1;;15500;5000;;;0
201102941;2941;3;1;RENAULT 9;1;1986;0;0;1;0;;;;225;0;1;1;3;;1992;;;;;;;;;;;RENAULT - GROUPE;1;;225;;;;0;;;;;;;;;;;;
201102944;2944;3;2;RENAULT SENIC;2;2001;0;1;1;0;999;;;0;150;1;1;3;;2001;;;;;;;;;;;RENAULT SCENIC;1;150;;;;;0;;;;;;;;;;;;
201102944;2944;3;2;SUPER 5;1;1988;0;0;1;0;;;;0;100;1;2;3;;1998;;;;;;;;;;;RENAULT SUPER 5;2;100;;;;;0;;;;;;;;;;;;
201102948;2948;1;1;CITROEN;2;2008;0;1;1;0;20;;;0;0;1;1;3;;2008;;;;;;;;;;;CITROEN - NON SPECIFIE;1;;;;;;0;;;;;;;;;;;;
201102949;2949;5;2;TOYOTA YARIS;2;2006;0;1;1;0;90;;;0;0;1;1;3;;2008;;;;;;;;;;;TOYOTA YARIS;1;;;;;;0;;;;;;;;;;;;
201102949;2949;5;2;ZX CITROEN;2;1995;0;1;0;0;100;;;0;0;1;2;3;;1997;;;;;;;;;;;CITROEN ZX;2;;;;;;0;;;;;;;;;;;;
201102951;2951;3;1;PEUGEOT 307;2;2006;1;0;1;0;;80;350;1172;0;1;1;3;;2009;;;;;;;;;;;PEUGEOT 307;1;;1172;;;;0;;;;;;;;;;;;
201102953;2953;5;2;FORD FUSION;1;2003;1;0;1;0;;0;45;0;137;1;1;3;;2007;;;;;;;;;;;FORD FUSION;1;137;;;;;0;;;;;;;;;;;;
201102953;2953;5;2;XANTIA;1;2000;1;0;0;0;;100;75;0;0;1;2;2;2;;;;;;;;;;;;CITROEN XANTIA;2;;;;;;0;;;;;;;;;;;;
201102954;2954;2;1;RENAULT LAGUNA;2;2000;1;0;1;0;;50;300;0;0;1;1;3;;2009;;;;;;;;;;;RENAULT LAGUNA;1;;;;;;0;;;;;;;;;;;;
201102955;2955;1;1;MERCEDES SMART;2;2001;0;0;1;0;;;;0;0;1;2;3;;2010;10;3;2;3;;;;3;;2900;SMART;1;;;;2900;;0;1;;2900;;;1;;2900;0;;;0
201102958;2958;6;1;CITROEN XANTIA;2;1995;0;1;1;0;10;;;70;80;1;1;3;;2010;6;;;;;;;;;;CITROEN XANTIA;1;80;70;;;;0;1;;0;;;;;;;;;
201102963;2963;4;1;SEAT LEONE;2;2010;1;0;1;0;;75;950;0;300;1;2;3;;2010;6;2;1;1;19000;0;4400;5;0;19000;SEAT LEON;1;300;;4400;19000;0;0;1;1;19000;4400;1;;19000;;;0;4400;
201102964;2964;3;1;RENAULT CLIO;1;2002;0;0;1;0;;;;0;62;1;1;3;;2003;;;;;;;;;;;RENAULT CLIO;1;62;;;;;0;;;;;;;;;;;;
201102965;2965;2;1;207 PEUGEOT;1;2008;0;0;1;0;;;;0;0;1;1;3;;2008;;;;;;;;;;;PEUGEOT 207;1;;;;;;0;;;;;;;;;;;;
201102968;2968;3;2;RENAULT SCENIC;1;1996;0;0;1;0;;;;0;0;1;2;3;;2009;;;;;;;;;;;RENAULT SCENIC;1;;;;;;0;;;;;;;;;;;;
201102968;2968;3;2;TOYOTA PREVIA;1;1981;0;0;1;0;;;;0;0;1;1;3;;1994;;;;;;;;;;;TOYOTA - GROUPE;2;;;;;;0;;;;;;;;;;;;
201102969;2969;4;2;BMW MINI;1;2004;0;0;1;0;;;;0;200;1;2;2;2;;;;;;;;;;;;BMW - GROUPE;1;200;;;;;0;;;;;;;;;;;;
201102969;2969;4;2;CITROEN C4;2;2010;0;0;1;0;;;;0;0;1;1;3;;2010;10;2;1;3;0;21000;;2;2000;21000;CITROEN C4;2;;;;21000;2000;0;1;;21000;;1;;21000;;;2000;0;
201102970;2970;3;3;AUDI A6 QUATRO;2;2007;1;0;1;0;;100;200;0;0;1;2;3;;2008;;;;;;;;;;;AUDI A6;1;;;;;;0;;;;;;;;;;;;
201102970;2970;3;3;HOTCHKISS JEEP;1;1956;0;0;1;0;;;;0;0;1;1;3;;1997;;;;;;;;;;;JEEP 4X4;2;;;;;;0;;;;;;;;;;;;
201102970;2970;3;3;RENAULT TWING0;1;2004;1;1;0;0;0;0;0;0;0;1;2;4;;;;;;;;;;;;;RENAULT TWINGO;3;;;;;;0;;;;;;;;;;;;
201102971;2971;2;3;306;1;1996;0;0;1;0;;;;0;0;1;2;3;;2000;;;;;;;;;;;PEUGEOT 306;1;;;;;;0;;;;;;;;;;;;
201102971;2971;2;3;PARTNER;2;2007;1;0;1;0;;100;500;0;400;1;1;3;;2009;12;;;;;;;;;;PEUGEOT PARTNER;2;400;;;;;0;;;;;;;;;;;;
201102971;2971;2;3;RENAULT TRAFFIC;2;1983;0;0;0;1;;;;0;0;3;;4;;;;;;;;;;;;;RENAULT TRAFIC;3;;;;;;0;;;;;;;;;;;;
201102972;2972;2;2;NISSAN QASHQUAI;2;2009;1;0;1;0;;60;300;0;399;1;1;3;;2009;4;;;;;;;;;;NISSAN QASHQAI;1;399;;;;;0;;;;;;;;;;;;
201102972;2972;2;2;TWINGO;1;1995;1;0;1;0;;100;50;0;0;1;2;3;;2008;;;;;;;;;;;RENAULT TWINGO;2;;;;;;0;;;;;;;;;;;;
201102974;2974;3;1;PEUGEOT 206;2;2001;1;1;1;0;30;20;300;400;0;1;1;3;;2002;;;;;;;;;;;PEUGEOT 205;1;;400;;;;0;;;;;;;;;;;;
201102975;2975;3;1;NISSAN;2;2010;0;1;1;0;0;;;0;0;1;1;1;;2010;8;2;1;3;;0;2100;1;999999;999999;NISSAN - NON SPECIFIE;1;;;2100;22000;5000;0;1;1;22000;2100;1;;22000;;;5000;2100;
201102976;2976;1;1;205;1;2000;1;0;1;0;;80;70;0;0;1;1;3;;2006;;;;;;;;;;;PEUGEOT 205;1;;;;;;0;;;;;;;;;;;;
201102977;2977;3;3;CLIO;2;1991;1;0;0;0;;0;50;0;0;1;3;3;;2009;;;;;;;;;;;RENAULT CLIO;1;;;;;;0;;;;;;;;;;;;
201102977;2977;3;3;MERCEDES 180 B;2;2006;0;0;1;0;;;;0;0;1;1;3;;2009;;;;;;;;;;;MERCEDES - GROUPE;2;;;;;;0;;;;;;;;;;;;
201102977;2977;3;3;PARTNERE;2;2000;1;0;0;0;;0;80;0;0;1;2;3;;2000;;;;;;;;;;;PEUGEOT PARTNER;3;;;;;;0;;;;;;;;;;;;
201102979;2979;5;2;AUDI A 4;2;2005;1;0;1;0;;70;100;0;0;1;1;3;;2005;;;;;;;;;;;AUDI A4;1;;;;;;0;;;;;;;;;;;;
201102979;2979;5;2;RENAULT MEGANE;2;2003;1;0;1;0;;90;200;0;0;1;2;3;;2010;10;3;2;3;0;4000;;2;800;4000;RENAULT MEGANE;2;;;;4000;800;0;1;;4000;;;1;;4000;800;;;0
201102980;2980;2;1;PEUGEOT 405;1;1991;0;0;1;0;;;;0;0;1;1;3;;1991;;;;;;;;;;;PEUGEOT 405;1;;;;;;0;;;;;;;;;;;;
201102981;2981;4;2;CITROEN EVASION;2;2004;1;0;1;0;;80;500;200;0;1;2;3;;2007;;;;;;;;;;;CITROEN EVASION;1;;200;;;;0;;;;;;;;;;;;
201102981;2981;4;2;GOLF 4;2;1998;1;0;1;0;;80;360;800;0;1;1;3;;2002;;;;;;;;;;;VOLKSWAGEN GOLF;2;;800;;;;0;;;;;;;;;;;;
201102982;2982;5;2;CITROEN C3;2;2005;1;0;1;0;;60;40;285;0;1;2;4;;;;;;;;;;;;;CITROEN C3;1;;285;;;;0;;;;;;;;;;;;
201102982;2982;5;2;WOLSWAGEN POLO;2;2009;1;1;1;0;30;30;40;0;0;1;1;2;1;;;;;;;;;;;;VOLKSWAGEN POLO;2;;;;;;0;;;;;;;;;;;;
201102984;2984;1;1;OPEL CORSA;1;2000;0;1;1;0;0;;;600;200;1;1;3;;2004;;;;;;;;;;;OPEL CORSA;1;200;600;;;;0;;;;;;;;;;;;
201102986;2986;3;2;RENAULT 5;1;1996;1;0;1;0;;50;200;400;0;1;2;4;;;;;;;;;;;;;RENAULT 5;1;;400;;;;0;;;;;;;;;;;;
201102986;2986;3;2;RENAULT CLIO STATE B;2;2010;1;1;1;0;0;95;600;0;0;1;1;3;;2010;10;2;1;3;0;8600;;1;6000;14600;RENAULT CLIO;2;;;;14600;6000;0;1;;14600;;1;;14600;;;6000;0;
201102988;2988;2;1;PEUGEOT 407 BREAK;2;2006;0;0;1;0;;;;0;180;1;2;3;;2007;;;;;;;;;;;PEUGEOT 407;1;180;;;;;0;;;;;;;;;;;;
201102990;2990;5;1;OPEL ZAFIRA;2;2005;1;0;1;0;;90;300;80;0;1;1;3;;2010;7;3;2;1;4500;3500;1727;2;1500;9500;OPEL ZAFIRA;1;;80;1727;9500;1500;0;1;1;9500;1727;;1;;9500;1500;;;1727
201102991;2991;3;1;CITROEN SAXO;1;1997;0;0;1;0;;;;0;0;1;1;3;;2007;;;;;;;;;;;CITROEN SAXO;1;;;;;;0;;;;;;;;;;;;
201102992;2992;2;1;CITROEN SAXO1;1;1999;1;0;1;0;;70;120;0;100;1;1;3;;2006;;;;;;;;;;;CITROEN SAXO;1;100;;;;;0;;;;;;;;;;;;
201102993;2993;3;2;PEUGEOT;1;1998;0;0;1;0;;;;564;0;1;2;3;;2005;;;;;;;;;;;PEUGEOT - NON SPECIFIE;1;;564;;;;0;;;;;;;;;;;;
201102993;2993;3;2;RENAULT;2;2008;0;0;1;0;;;;0;230;1;1;3;;2008;;;;;;;;;;;RENAULT - NON SPECIFIE;2;230;;;;;0;;;;;;;;;;;;
201102999;2999;3;1;RENAULT KANGOO;1;2006;1;0;1;0;;100;42;254;120;1;1;3;;2009;;;;;;;;;;;RENAULT KANGOO;1;120;254;;;;0;;;;;;;;;;;;
201103004;3004;1;1;RENAULT;1;2006;0;1;1;0;80;;;0;0;1;1;3;;2007;;;;;;;;;;;RENAULT - NON SPECIFIE;1;;;;;;0;;;;;;;;;;;;
201103007;3007;6;2;CHEVROLET AVO;1;2011;1;0;0;0;;90;100;0;0;1;1;3;;2011;4;2;1;3;;;;5;;8250;CHEVROLET AVEO;1;;;;8250;;0;1;;8250;;1;;8250;;;0;0;
201103007;3007;6;2;SCODA OCTAVIA;2;2010;1;0;1;0;;10;100;0;0;1;1;3;;2010;1;;;;;;;;;;SKODA OCTAVIA;2;;;;;;0;1;;0;;;;;;;;;
201103008;3008;1;2;AVENSIS 2 TOYOTA;2;2006;0;0;1;0;;;;350;15;1;2;3;;2006;;;;;;;;;;;TOYOTA AVENSIS;1;15;350;;;;0;;;;;;;;;;;;
201103008;3008;1;2;COROLLA TOYOTA;1;2001;0;0;1;0;;;;0;0;1;1;3;;2001;;;;;;;;;;;TOYOTA COROLLA;2;;;;;;0;;;;;;;;;;;;
201103009;3009;2;1;RENAULT SCENIC;2;2009;0;0;1;0;;;;0;0;1;2;3;;2010;11;2;2;3;0;2600;;1;21500;24100;RENAULT SCENIC;1;;;;24100;21500;0;1;;24100;;;1;;24100;21500;;;0
201103011;3011;1;4;MERCEDES;2;1982;1;0;1;0;;25;500;0;150;1;1;3;;1993;;;;;;;;;;;MERCEDES - NON SPECIFIE;1;150;;;;;0;;;;;;;;;;;;
201103011;3011;1;4;MERCEDES 240;2;1981;1;0;1;0;;65;600;0;50;1;1;3;;1997;;;;;;;;;;;MERCEDES 200;2;50;;;;;0;;;;;;;;;;;;
201103011;3011;1;4;OPEL VECTRA;2;1992;1;0;1;0;;10;20;0;30;3;;3;;2007;;;;;;;;;;;OPEL VECTRA;3;30;;;;;0;;;;;;;;;;;;
201103011;3011;1;4;PEUGEOT 605;2;1995;0;0;1;0;;;;0;0;1;1;3;;2009;12;3;2;3;;;;5;;1000;PEUGEOT 605;4;;;;1000;;0;;;;;;;;;;;;
201103012;3012;3;2;406 PEUGEOT;1;1998;0;0;1;0;;;;800;0;1;2;2;2;;;;;;;;;;;;PEUGEOT 406;1;;800;;;;0;;;;;;;;;;;;
201103012;3012;3;2;C3;2;2001;1;1;1;0;25;25;400;500;0;1;1;3;;2008;;;;;;;;;;;CITROEN C3;2;;500;;;;0;;;;;;;;;;;;
201103015;3015;5;1;SCENIC;1;2007;0;0;1;0;;;;0;0;1;1;3;;2007;;;;;;;;;;;RENAULT SCENIC;1;;;;;;0;;;;;;;;;;;;
201103019;3019;3;1;RENAULT;2;2002;1;0;1;0;;0;40;0;60;1;1;3;;2002;;;;;;;;;;;RENAULT - NON SPECIFIE;1;60;;;;;0;;;;;;;;;;;;
201103020;3020;4;1;CITROEN;2;2001;1;0;1;0;;50;400;400;70;1;1;3;;2004;;;;;;;;;;;CITROEN - NON SPECIFIE;1;70;400;;;;0;;;;;;;;;;;;
201103022;3022;2;2;CLIO;2;1997;0;0;1;0;;;;300;80;1;2;3;;1997;;;;;;;;;;;RENAULT CLIO;1;80;300;;;;0;;;;;;;;;;;;
201103022;3022;2;2;LAGUNA;1;1995;0;0;1;0;;;;0;300;1;1;3;;2002;;;;;;;;;;;RENAULT LAGUNA;2;300;;;;;0;;;;;;;;;;;;
201103023;3023;1;1;CITROEN C3;1;2004;0;0;1;0;;;;0;0;1;1;3;;2004;;;;;;;;;;;CITROEN C3;1;;;;;;0;;;;;;;;;;;;
201103025;3025;5;2;CLIO;1;1994;1;0;0;0;;90;120;0;0;1;2;4;;;;;;;;;;;;;RENAULT CLIO;1;;;;;;0;;;;;;;;;;;;
201103025;3025;5;2;LAGUNA;2;2004;1;0;0;0;;80;340;0;0;1;1;3;;2010;6;;;;;;;;;;RENAULT LAGUNA;2;;;;;;0;1;;0;;;;;;;;;
201103026;3026;4;1;CITROEN C3;2;2004;0;0;1;0;;;;0;0;1;2;3;;2010;5;3;2;3;;;;5;;2500;CITROEN C3;1;;;;2500;;0;1;;2500;;;1;;2500;0;;;0
201103028;3028;2;1;OPEL  ASTRA;2;2004;0;1;1;0;0;;;0;0;1;1;3;;2005;;;;;;;;;;;OPEL ASTRA;1;;;;;;0;;;;;;;;;;;;
201103029;3029;4;1;407 PEUGEOT;2;2005;0;1;1;0;50;;;2883;0;3;;3;;2005;;;;;;;;;;;PEUGEOT 407;1;;2883;;;;0;;;;;;;;;;;;
201103030;3030;3;1;PEUGEOT 405 BREAK;1;2001;1;0;1;0;;100;80;440;357;1;2;3;;2005;;;;;;;;;;;PEUGEOT 405;1;357;440;;;;0;;;;;;;;;;;;
201103031;3031;1;1;C3 CITROEN;1;2007;0;0;1;0;;;;0;0;1;1;3;;2007;;;;;;;;;;;CITROEN C3;1;;;;;;0;;;;;;;;;;;;
201103035;3035;4;2;MEGANE;3;2006;1;0;1;0;;90;550;2100;365;1;2;3;;2011;2;3;2;1;6000;900;414;2;200;7100;RENAULT MEGANE;1;365;2100;414;7100;200;0;1;1;7100;414;;1;;7100;200;;;414
201103035;3035;4;2;OPEL CORSA;1;1993;1;0;1;0;;90;99999;999999;999999;1;1;4;;;;;;;;;;;;;OPEL CORSA;2;100;320;;;;0;;;;;;;;;;;;
201103039;3039;1;1;RENAULT 19;1;1994;1;0;0;0;;50;120;192;166;1;1;2;2;;;;;;;;;;;;RENAULT 19;1;166;192;;;;0;;;;;;;;;;;;
201103040;3040;1;2;PEUGEOT 207;2;2009;1;0;0;0;;100;500;0;999999;1;1;3;;2009;4;;;;;;;;;;PEUGEOT 207;1;40;;;;;0;;;;;;;;;;;;
201103040;3040;1;2;RENAULT;2;2004;0;0;1;0;;;;0;999999;1;2;3;;2004;;;;;;;;;;;RENAULT - NON SPECIFIE;2;190;;;;;0;;;;;;;;;;;;
201103041;3041;3;1;405;2;1990;0;0;1;0;;;;300;0;1;1;3;;1992;;;;;;;;;;;PEUGEOT 405;1;;300;;;;0;;;;;;;;;;;;
201103042;3042;4;2;VOLSWAGEN GOLF;1;1998;0;0;1;0;;;;0;0;1;2;3;;1998;;;;;;;;;;;VOLKSWAGEN GOLF;1;;;;;;0;;;;;;;;;;;;
201103042;3042;4;2;VOLVO XC60;2;2008;0;0;1;0;;;;0;0;1;1;3;;2009;;;;;;;;;;;VOLVO - GROUPE;2;;;;;;0;;;;;;;;;;;;
201103045;3045;2;3;KYA 7C;1;2003;1;0;1;0;;50;35;0;0;1;1;3;;2003;;;;;;;;;;;KYA - GROUPE;1;;;;;;0;;;;;;;;;;;;
201103045;3045;2;3;PEUGEOT 205;1;1989;1;0;1;0;;20;50;500;0;1;3;3;;2007;;;;;;;;;;;PEUGEOT 205;2;;500;;;;0;;;;;;;;;;;;
201103045;3045;2;3;VOLVO 7C;1;1997;1;0;1;0;;50;150;400;80;1;2;4;;;;;;;;;;;;;VOLVO - GROUPE;3;80;400;;;;0;;;;;;;;;;;;
201103046;3046;6;2;WOLSVAGEN BREAK;2;2002;1;0;1;0;;50;70;0;150;1;1;3;;2006;;;;;;;;;;;VOLKSWAGEN - NON SPECIFIE;1;150;;;;;0;;;;;;;;;;;;
201103046;3046;6;2;ZX;2;1991;1;0;1;0;;50;0;0;0;1;2;3;;2000;;;;;;;;;;;CITROEN ZX;2;;;;;;0;;;;;;;;;;;;
201103048;3048;1;2;OPEL;2;2000;1;0;1;0;;0;40;0;0;1;3;3;;2010;10;2;2;3;;;;5;;1800;OPEL - NON SPECIFIE;1;;;;1800;;0;1;;1800;;;1;;1800;0;;;0
201103048;3048;1;2;PEUGEOT;2;2000;0;0;1;0;;;;450;0;1;1;3;;2010;1;3;2;3;;;;3;;3000;PEUGEOT - NON SPECIFIE;2;;450;;3000;;0;1;;3000;;;1;;3000;0;;;0
201103049;3049;6;2;RENAULT SCENIC;1;2000;0;0;1;0;;;;200;0;1;2;3;;2002;;;;;;;;;;;RENAULT SCENIC;1;;200;;;;0;;;;;;;;;;;;
201103049;3049;6;2;TWINGO;1;2005;0;0;1;0;;;;0;30;1;1;4;;;;;;;;;;;;;RENAULT TWINGO;2;30;;;;;0;;;;;;;;;;;;
201103050;3050;2;1;BMW 520 I;1;1990;0;0;1;0;;;;600;0;1;1;3;;1999;;;;;;;;;;;BMW SERIE 5;1;;600;;;;0;;;;;;;;;;;;
201103051;3051;5;2;CITROEN PICASSO;2;2000;0;0;1;0;;;;0;0;3;;3;;2000;;;;;;;;;;;CITROEN PICASSO;1;;;;;;0;;;;;;;;;;;;
201103051;3051;5;2;CITROEN XASARA;2;1999;1;1;1;0;0;80;150;0;0;3;;3;;2000;;;;;;;;;;;CITROEN XSARA;2;;;;;;0;;;;;;;;;;;;
201103053;3053;3;1;CITROEN C4;2;2008;0;0;1;0;;;;0;0;1;1;3;;2008;;;;;;;;;;;CITROEN C4;1;;;;;;0;;;;;;;;;;;;
201103055;3055;2;1;RENAULT ESPACE;2;1993;1;0;1;0;;100;80;0;0;1;1;3;;2002;;;;;;;;;;;RENAULT ESPACE;1;;;;;;0;;;;;;;;;;;;
201103056;3056;3;2;PEUGEOT PARTNER;2;2001;1;1;1;0;0;80;200;650;77;3;;3;;2008;;;;;;;;;;;PEUGEOT PARTNER;1;77;650;;;;0;;;;;;;;;;;;
201103056;3056;3;2;RENAULT MEGANE;1;2006;1;1;1;0;0;80;100;0;0;3;;3;;2010;11;3;2;1;4000;1000;920;2;3000;8000;RENAULT MEGANE;2;;;920;8000;3000;0;1;1;8000;920;;1;;8000;3000;;;920
201103057;3057;6;1;PEUGEOT 206 SW;1;2002;0;0;1;0;;;;0;0;1;1;3;;2003;;;;;;;;;;;PEUGEOT 206;1;;;;;;0;;;;;;;;;;;;
201103058;3058;5;2;CITROEN XM;2;1997;1;1;1;0;999;999;99999;0;0;1;1;3;;2011;5;3;2;3;0;0;;2;2000;1500;CITROEN XM;1;;;;1500;2000;0;1;;1500;;;1;;1500;2000;;;0
201103058;3058;5;2;CITROEN ZX;2;1996;0;0;1;0;;;;700;0;1;2;3;;2011;3;2;2;3;0;2000;;1;600;2600;CITROEN ZX;2;;700;;2600;600;0;1;;2600;;;1;;2600;600;;;0
201103060;3060;4;1;RENAULT MEGANE;2;2003;0;0;1;0;;;;300;200;1;1;3;;2007;;;;;;;;;;;RENAULT MEGANE;1;200;300;;;;0;;;;;;;;;;;;
201103063;3063;2;2;MERCEDES;2;1985;1;0;0;0;;100;250;0;0;1;2;2;2;;;;;;;;;;;;MERCEDES - NON SPECIFIE;1;;;;;;0;;;;;;;;;;;;
201103063;3063;2;2;MERCEDES 220CDI;2;1999;1;0;1;0;;80;500;700;0;1;1;3;;2003;;;;;;;;;;;MERCEDES 200;2;;700;;;;0;;;;;;;;;;;;
201103065;3065;4;1;VOLVO;2;2001;0;1;1;0;80;;;0;500;3;;3;;2008;;;;;;;;;;;VOLVO - NON SPECIFIE;1;500;;;;;0;;;;;;;;;;;;
201103066;3066;3;1;PEUGEOT 307;1;2003;1;0;1;0;;70;180;500;0;1;1;3;;2008;;;;;;;;;;;PEUGEOT 307;1;;500;;;;0;;;;;;;;;;;;
201103067;3067;6;1;LOGAN DACIA;2;2007;0;0;1;0;;;;0;200;3;;3;;2007;;;;;;;;;;;DACIA LOGAN;1;200;;;;;0;;;;;;;;;;;;
201103068;3068;2;1;FORD FIESTA;1;1999;1;1;1;0;0;0;250;0;0;1;1;4;;;;;;;;;;;;;FORD FIESTA;1;;;;;;0;;;;;;;;;;;;
201103069;3069;3;1;CITROEN PICASSO;1;2010;0;1;1;0;0;;;0;0;1;2;3;;2010;1;;;;;;;;;;CITROEN PICASSO;1;;;;;;0;1;;0;;;;;;;;;
201103070;3070;5;2;MERCEDES C 320;2;2007;0;0;1;0;;;;0;0;1;2;3;;2007;;;;;;;;;;;MERCEDES CLASSE C;1;;;;;;0;;;;;;;;;;;;
201103070;3070;5;2;NISSAN 4X4;2;2005;0;0;1;0;;;;0;0;1;1;3;;2005;;;;;;;;;;;NISSAN 4X4;2;;;;;;0;;;;;;;;;;;;
201103071;3071;4;2;CITROEN C5 2;2;2009;0;0;1;0;;;;0;0;1;1;3;;2009;;;;;;;;;;;CITROEN C5;1;;;;;;0;;;;;;;;;;;;
201103071;3071;4;2;PEUGEOT 106;1;1997;1;0;1;0;;70;30;0;0;1;2;3;;2007;;;;;;;;;;;PEUGEOT 106;2;;;;;;0;;;;;;;;;;;;
201103072;3072;3;1;RENAULT TWINGO;1;2000;0;0;1;0;;;;0;425;1;1;3;;2000;;;;;;;;;;;RENAULT TWINGO;1;425;;;;;0;;;;;;;;;;;;
201103073;3073;4;3;PEUGEOT 307;2;2004;1;0;1;0;;0;120;0;0;1;1;3;;2009;;;;;;;;;;;PEUGEOT 307;1;;;;;;0;;;;;;;;;;;;
