IDENTMENECOPA;ident_men;vag;nbvehic;marque;carbu;anvoi;expvoi1;expvoi2;expvoi3;expvoi4;provoi;protrav;km_auto;repar_auto;fraisvoi;persvoi;quivoi;apvoi;gravoi;recvoi;moisvoi;lieuvoi;acqvoi;crevoi;empvoi;apervoi;mcrevoi;ancvoi;repvoi;privoi;marque_d;numvehic;fraisvoi_d;repar_auto_d;mcrevoi_d;privoi_d;repvoi_d;dom;achat_auto;credit_achat;prix_auto;remb_cred_12;acq_neuf;acq_occaz;prix_neuf;prix_occaz;rep_neuf;rep_occaz;remb_neuf;remb_occaz
201100024;24;5;2;BMW;2;2003;0;0;1;0;;;;0;0;1;1;3;;2003;;;;;;;;;;;BMW - NON SPECIFIE;1;;;;;;0;;;;;;;;;;;;
201100024;24;5;2;PEUGEOT;2;2007;0;0;1;0;;;;0;61;3;;3;;2007;;;;;;;;;;;PEUGEOT - NON SPECIFIE;2;61;;;;;0;;;;;;;;;;;;
201100026;26;6;2;307 PEUGEOT;2;2002;0;0;1;0;;;;0;300;1;1;3;;2002;;;;;;;;;;;PEUGEOT 307;1;300;;;;;0;;;;;;;;;;;;
201100026;26;6;2;C15;2;1988;0;0;1;0;;;;0;0;1;2;3;;2005;;;;;;;;;;;CITROEN C15;2;;;;;;0;;;;;;;;;;;;
201100027;27;4;1;TWINGO;1;2004;0;0;1;0;;;;0;0;1;1;3;;2005;;;;;;;;;;;RENAULT TWINGO;1;;;;;;0;;;;;;;;;;;;
201100030;30;2;1;FORD ESCORT;1;1997;0;0;1;0;;;;275;0;1;1;3;;2008;;;;;;;;;;;FORD ESCORT;1;;275;;;;0;;;;;;;;;;;;
201100032;32;2;2;MERCEDES;2;2005;0;0;1;0;;;;0;0;3;;3;;2010;11;5;2;3;;;;5;;18550;MERCEDES - NON SPECIFIE;1;;;;18550;;0;1;;18550;;;1;;18550;0;;;0
201100032;32;2;2;SUZUKI SANTANA;1;1997;0;0;1;0;;;;0;0;1;2;3;;1997;;;;;;;;;;;SUZUKI 4X4;2;;;;;;0;;;;;;;;;;;;
201100036;36;1;1;TOYOTA COROLA VERSO;2;2003;0;0;1;0;;;;0;700;3;;3;;2003;;;;;;;;;;;TOYOTA COROLLA VERSO;1;700;;;;;0;;;;;;;;;;;;
201100038;38;1;2;306;1;2000;1;0;1;0;;100;150;80;0;1;1;3;;2000;;;;;;;;;;;PEUGEOT 306;1;;80;;;;0;;;;;;;;;;;;
201100038;38;1;2;SCENIC;2;2002;0;0;1;0;;;;0;0;3;;3;;2005;;;;;;;;;;;RENAULT SCENIC;2;;;;;;0;;;;;;;;;;;;
201100041;41;6;1;RENAULT TWINGO;1;2005;1;0;1;0;;30;100;0;0;1;1;3;;2005;;;;;;;;;;;RENAULT TWINGO;1;;;;;;0;;;;;;;;;;;;
201100042;42;3;2;305 PEUGEOT;1;1985;1;1;1;0;0;0;150;480;0;3;;3;;2008;;;;;;;;;;;PEUGEOT - GROUPE;1;;480;;;;0;;;;;;;;;;;;
201100042;42;3;2;806 PEUGEOT;2;2001;1;1;1;0;0;0;490;1400;150;3;;3;;2004;;;;;;;;;;;PEUGEOT 806;2;150;1400;;;;0;;;;;;;;;;;;
201100044;44;2;1;CITROEN SAXO;1;1997;1;0;1;0;;80;120;0;100;1;2;3;;2010;10;3;2;3;0;0;;2;1500;1500;CITROEN SAXO;1;100;;;1500;1500;0;1;;1500;;;1;;1500;1500;;;0
201100045;45;2;1;PEUGEOT 304;1;1996;0;0;1;0;;;;0;0;1;2;3;;1996;;;;;;;;;;;PEUGEOT - GROUPE;1;;;;;;0;;;;;;;;;;;;
201100046;46;1;2;PEUGEOT 206;2;2006;1;0;1;0;;80;230;0;0;1;2;3;;2009;5;;;;;;;;;;PEUGEOT 205;1;;;;;;0;;;;;;;;;;;;
201100046;46;1;2;PEUGEOT 306;2;1998;1;0;1;0;;100;320;1000;0;1;1;3;;2005;;;;;;;;;;;PEUGEOT 306;2;;1000;;;;0;;;;;;;;;;;;
201100050;50;5;1;MODUS;1;2009;0;0;1;0;;;;0;0;1;1;3;;2009;;;;;;;;;;;RENAULT MODUS;1;;;;;;0;;;;;;;;;;;;
201100051;51;1;2;BERLINGO;2;2009;1;0;0;0;;80;1000;0;200;1;2;3;;2009;10;;;;;;;;;;CITROEN BERLINGO;1;200;;;;;0;;;;;;;;;;;;
201100051;51;1;2;C3;2;2010;1;0;0;0;;80;400;0;0;1;1;3;;2010;10;2;1;3;0;13000;;1;4000;17000;CITROEN C3;2;;;;17000;4000;0;1;;17000;;1;;17000;;;4000;0;
201100056;56;1;3;JEEP CHEROKEE;2;1998;0;0;1;0;;;;0;0;1;1;3;;2005;;;;;;;;;;;JEEP CHEROKEE 4X4;1;;;;;;0;;;;;;;;;;;;
201100056;56;1;3;MERCEDES C180;1;1994;0;0;1;0;;;;0;300;3;;4;;;;;;;;;;;;;MERCEDES CLASSE C;2;300;;;;;0;;;;;;;;;;;;
201100056;56;1;3;SANTANA;1;1991;0;0;1;0;;;;0;0;1;1;3;;1991;;;;;;;;;;;SUZUKI 4X4;3;;;;;;0;;;;;;;;;;;;
201100060;60;2;3;PASSAT VW;2;2006;1;1;1;0;83;9;348;0;0;1;1;2;1;;;;;;;;;;;;VOLKSWAGEN PASSAT;1;;;;;;0;;;;;;;;;;;;
201100060;60;2;3;POLO VW;1;1995;0;0;1;0;;;;0;0;1;2;3;;1995;;;;;;;;;;;VOLKSWAGEN POLO;2;;;;;;0;;;;;;;;;;;;
201100060;60;2;3;TWINGO;1;1998;0;1;1;0;10;;;0;0;1;3;3;;1998;;;;;;;;;;;RENAULT TWINGO;3;;;;;;0;;;;;;;;;;;;
201100061;61;4;2;SCENIC 1;2;2000;1;0;0;0;;100;99999;300;0;1;1;3;;2010;9;2;2;3;0;0;;2;3500;3500;RENAULT SCENIC;1;;300;;3500;3500;0;1;;3500;;;1;;3500;3500;;;0
201100061;61;4;2;SCENIC PHASE 2;2;2004;0;0;1;0;;;;0;11;1;2;3;;2011;3;2;2;1;7900;0;664;3;0;7900;RENAULT SCENIC;2;11;;664;7900;0;0;1;1;7900;664;;1;;7900;0;;;664
201100064;64;1;2;AX CITROEN;1;1995;1;0;1;0;;50;170;0;0;1;1;4;;;;;;;;;;;;;CITROEN AX;1;;;;;;0;;;;;;;;;;;;
201100064;64;1;2;SEAT ALHANBRA;2;2000;0;1;1;0;90;;;600;200;1;2;4;;;;;;;;;;;;;SEAT - GROUPE;2;200;600;;;;0;;;;;;;;;;;;
201100065;65;5;1;FORD MONDEO;2;1998;0;0;1;0;;;;0;0;1;1;3;;2001;;;;;;;;;;;FORD MONDEO;1;;;;;;0;;;;;;;;;;;;
201100068;68;1;3;LAGUNA RENAULT;1;2000;1;0;1;0;;48;100;0;0;1;2;3;;2004;;;;;;;;;;;RENAULT LAGUNA;1;;;;;;0;;;;;;;;;;;;
201100068;68;1;3;POLO VOLSWAGEN;1;2003;1;0;1;0;;25;200;120;70;1;1;3;;2008;;;;;;;;;;;VOLKSWAGEN POLO;2;70;120;;;;0;;;;;;;;;;;;
201100068;68;1;3;PORSCHE;1;2002;0;0;1;0;;;;0;0;1;2;3;;2010;9;3;2;1;15000;0;2400;2;15000;30000;PORSCHE - NON SPECIFIE;3;;;2400;30000;15000;0;1;1;30000;2400;;1;;30000;15000;;;2400
201100069;69;3;2;306 PEUGEOT;2;1996;0;0;1;0;;;;350;69;1;3;3;;2008;;;;;;;;;;;PEUGEOT 306;1;69;350;;;;0;;;;;;;;;;;;
201100069;69;3;2;SAFIRA OPEL;2;2003;0;0;1;0;;;;0;0;1;1;3;;2006;;;;;;;;;;;OPEL ZAFIRA;2;;;;;;0;;;;;;;;;;;;
201100070;70;4;1;PEUGEOT 207;1;2007;0;0;1;0;;;;195;292;1;1;3;;2007;;;;;;;;;;;PEUGEOT 207;1;292;195;;;;0;;;;;;;;;;;;
201100071;71;2;2;CLIO;1;2002;1;0;1;0;;70;300;0;250;1;1;3;;2005;;;;;;;;;;;RENAULT CLIO;1;250;;;;;0;;;;;;;;;;;;
201100071;71;2;2;SANTA FE HUNDAY;2;2005;1;0;1;0;;66;600;0;0;1;2;3;;2007;;;;;;;;;;;HYUNDAI SANTA FE 4X4;2;;;;;;0;;;;;;;;;;;;
201100073;73;6;2;KANGOO;2;2001;0;0;1;0;;;;0;350;1;2;3;;2001;;;;;;;;;;;RENAULT KANGOO;1;350;;;;;0;;;;;;;;;;;;
201100073;73;6;2;RENAULT SUPER 5;1;1996;0;0;1;0;;;;50;300;1;1;3;;1996;;;;;;;;;;;RENAULT SUPER 5;2;300;50;;;;0;;;;;;;;;;;;
201100075;75;5;1;RENAULT TWINGO;1;2006;1;0;1;0;;70;200;0;0;1;1;3;;2010;12;3;2;3;;;;5;;1200;RENAULT TWINGO;1;;;;1200;;0;1;;1200;;;1;;1200;0;;;0
201100076;76;1;3;307 PEUGEOT;1;2001;0;0;1;0;;;;0;90;1;2;3;;2003;;;;;;;;;;;PEUGEOT 307;1;90;;;;;0;;;;;;;;;;;;
201100076;76;1;3;KANGO RENAULT;2;1998;0;1;1;0;100;;;280;0;1;1;3;;2000;;;;;;;;;;;RENAULT KANGOO;2;;280;;;;0;;;;;;;;;;;;
201100076;76;1;3;TRAFIC RENAULT;2;1995;0;1;0;0;100;;;350;210;1;1;3;;1997;;;;;;;;;;;RENAULT TRAFIC;3;210;350;;;;0;;;;;;;;;;;;
201100078;78;6;1;VOLSWAGEN;2;2010;1;0;1;0;;60;100;0;0;1;1;3;;2010;3;;;;;;;;;;VOLKSWAGEN - NON SPECIFIE;1;;;;;;0;1;;0;;;;;;;;;
201100081;81;1;3;107;1;2008;0;0;1;0;;;;0;0;1;1;3;;2008;;;;;;;;;;;PEUGEOT 107;1;;;;;;0;;;;;;;;;;;;
201100081;81;1;3;407 SW;2;2004;0;0;1;0;;;;0;0;1;2;3;;2005;;;;;;;;;;;PEUGEOT 407;2;;;;;;0;;;;;;;;;;;;
201100081;81;1;3;MEHARY;1;1970;0;0;1;0;;;;400;0;1;2;3;;1994;;;;;;;;;;;CITROEN - GROUPE;3;;400;;;;0;;;;;;;;;;;;
201100083;83;3;2;PEUGEOT 407;2;2008;0;0;1;0;;;;0;0;1;2;3;;2008;;;;;;;;;;;PEUGEOT 407;1;;;;;;0;;;;;;;;;;;;
201100083;83;3;2;RENAULT KANGOO;2;2003;0;0;1;0;;;;204;0;1;1;3;;2003;;;;;;;;;;;RENAULT KANGOO;2;;204;;;;0;;;;;;;;;;;;
